node,degree_centrality,pagerank,betweenness_centrality,community_id
Hugo Weaving,0.10891089108910891,0.022599372032673908,0.15454410190392473,0
Emil Eifrem,0.039603960396039604,0.006084017756896823,0.06057918172769657,0
Laurence Fishburne,0.039603960396039604,0.013229725244417729,0.0,0
Carrie-Anne Moss,0.039603960396039604,0.013229725244417729,0.0,0
Keanu Reeves,0.13861386138613863,0.029025666800893073,0.12891192597185305,0
Charlize Theron,0.039603960396039604,0.00731714135247264,0.03307330457356515,0
Al Pacino,0.019801980198019802,0.0042594244757223065,0.0,0
Kevin Pollak,0.10891089108910891,0.010823861218287632,0.0007726628195315929,1
James Marshall,0.10891089108910891,0.010823861218287632,0.0007726628195315929,1
J.T. Walsh,0.12871287128712872,0.014056350040163593,0.02359050398626771,1
Cuba Gooding Jr.,0.2376237623762376,0.026107039873812264,0.09551665510794047,1
Noah Wyle,0.10891089108910891,0.01082386121828763,0.0007726628195315929,1
Kiefer Sutherland,0.16831683168316833,0.016962548052646978,0.049696755228772496,1
Kevin Bacon,0.18811881188118812,0.019744921596543747,0.11626697163870317,1
Demi Moore,0.10891089108910891,0.01082386121828763,0.0007726628195315929,1
Jack Nicholson,0.16831683168316833,0.0208725430740413,0.10127598292892709,1
Tom Cruise,0.22772277227722773,0.023919344236678297,0.10021003536296424,1
Aaron Sorkin,0.10891089108910891,0.010823861218287632,0.0007726628195315929,1
Christopher Guest,0.10891089108910891,0.010823861218287632,0.0007726628195315929,1
Kelly McGillis,0.04950495049504951,0.006992771600156125,0.0,3
Val Kilmer,0.04950495049504951,0.006992771600156125,0.0,3
Meg Ryan,0.1782178217821782,0.0260911452511726,0.11163482137687461,3
Tom Skerritt,0.04950495049504951,0.006992771600156125,0.0,3
Anthony Edwards,0.04950495049504951,0.006992771600156125,0.0,3
Jerry O'Connell,0.13861386138613863,0.014765701599593579,0.030656482012641782,2
Renee Zellweger,0.07920792079207921,0.00864192113593342,0.00022335298545334413,2
Kelly Preston,0.07920792079207921,0.00864192113593342,0.00022335298545334413,2
Bonnie Hunt,0.1485148514851485,0.015922427728598545,0.07467918273699468,6
Jay Mohr,0.07920792079207921,0.00864192113593342,0.00022335298545334413,2
Jonathan Lipnicki,0.07920792079207921,0.00864192113593342,0.00022335298545334413,2
Regina King,0.07920792079207921,0.00864192113593342,0.00022335298545334413,2
River Phoenix,0.0594059405940594,0.007418230059458874,0.0,2
Marshall Bell,0.0891089108910891,0.011129249792591313,0.01996809680968098,2
Wil Wheaton,0.0594059405940594,0.007418230059458873,0.0,2
John Cusack,0.0594059405940594,0.007418230059458873,0.0,2
Corey Feldman,0.0594059405940594,0.007418230059458873,0.0,2
Helen Hunt,0.06930693069306931,0.008861743181716928,0.020125215184851008,3
Greg Kinnear,0.07920792079207921,0.00999357375782708,0.02672475827970419,3
Robin Williams,0.06930693069306931,0.01031997185696573,0.03783016146226151,4
Max von Sydow,0.06930693069306931,0.009926473606286347,0.0474400108520361,4
Werner Herzog,0.039603960396039604,0.00607296048383494,0.0,4
Annabella Sciorra,0.039603960396039604,0.00607296048383494,0.0,4
Ethan Hawke,0.0297029702970297,0.0050215384070481,0.0,4
Rick Yune,0.0594059405940594,0.009064034050842495,0.0669685541235828,5
James Cromwell,0.09900990099009901,0.01248816492021673,0.05641904404323555,6
Parker Posey,0.04950495049504951,0.007041806353575311,0.0045284212631789495,3
Tom Hanks,0.33663366336633666,0.048820297329593115,0.37840972062254596,3
Steve Zahn,0.07920792079207921,0.010722611811232543,0.037564924913543976,3
Dave Chappelle,0.04950495049504951,0.00704180635357531,0.0045284212631789495,3
Victor Garber,0.04950495049504951,0.007204621346797801,0.005501704305768924,3
Bill Pullman,0.04950495049504951,0.007204621346797801,0.005501704305768924,3
Rita Wilson,0.04950495049504951,0.007204621346797801,0.005501704305768924,3
Rosie O'Donnell,0.0891089108910891,0.01307376142975457,0.00832096066749532,3
Nathan Lane,0.039603960396039604,0.006515495253126231,0.04640275380921551,4
Billy Crystal,0.0297029702970297,0.0059531078169621325,0.0,3
Carrie Fisher,0.0297029702970297,0.0059531078169621325,0.0,3
Bruno Kirby,0.0297029702970297,0.0059531078169621325,0.0,3
Liv Tyler,0.019801980198019802,0.004089708483012109,0.0,0
Brooke Langton,0.0297029702970297,0.0060326372088050206,0.0,4
Orlando Jones,0.0297029702970297,0.0060326372088050206,0.0,4
Gene Hackman,0.06930693069306931,0.013329070432035297,0.0631619727810452,4
Zach Grenier,0.0594059405940594,0.00844190271955105,0.006388538853885388,3
Christian Bale,0.0297029702970297,0.004856770588931365,0.0,3
Clint Eastwood,0.019801980198019802,0.005373293111907392,0.0,4
Richard Harris,0.019801980198019802,0.005373293111907392,0.0,4
Dina Meyer,0.0297029702970297,0.006242040628053749,0.0,0
Ice-T,0.0297029702970297,0.006242040628053749,0.0,0
Takeshi Kitano,0.0297029702970297,0.006242040628053749,0.0,0
Jim Broadbent,0.0297029702970297,0.005113884032870126,0.0,0
Halle Berry,0.0297029702970297,0.005113884032870126,0.0,0
Ian McKellen,0.0297029702970297,0.005849608892715424,0.0,3
Audrey Tautou,0.0297029702970297,0.005849608892715424,0.0,3
Paul Bettany,0.0297029702970297,0.005849608892715424,0.0,3
Stephen Rea,0.039603960396039604,0.006617953557403605,0.0,5
John Hurt,0.039603960396039604,0.006617953557403605,0.0,5
Natalie Portman,0.039603960396039604,0.006617953557403605,0.0,5
Ben Miles,0.1188118811881188,0.018416452069507275,0.09235878337207157,5
Emile Hirsch,0.0594059405940594,0.009010826777786779,0.00032856618995232863,5
Rain,0.07920792079207921,0.013016544958803937,0.01565299387081565,5
Christina Ricci,0.0594059405940594,0.009010826777786779,0.00032856618995232863,5
Susan Sarandon,0.0594059405940594,0.009010826777786779,0.00032856618995232863,5
John Goodman,0.0594059405940594,0.009010826777786779,0.00032856618995232863,5
Matthew Fox,0.0594059405940594,0.009010826777786779,0.00032856618995232863,5
Naomie Harris,0.0297029702970297,0.005188408554385919,0.00032856618995232863,5
Sam Rockwell,0.10891089108910891,0.013179376972273437,0.019538037278251246,6
Michael Clarke Duncan,0.06930693069306931,0.00859388328817924,0.0005564864178725565,6
David Morse,0.06930693069306931,0.00859388328817924,0.0005564864178725565,6
Patricia Clarkson,0.06930693069306931,0.00859388328817924,0.0005564864178725565,6
